id,text
id_000062,Quần ok.bua mua thửb2 cái.tiec là mặc chật nên bán lại cho bạn.thay quần đẹp nên phải đặt vs  shop 3 cái nữa để mặc.ck mình bình thường mắc size 31 mà quần bên shop size hơi kích.neu bình thường mặc 31 thì phải mua tăng 2size nha mn.phải size 33 mới vừa ạ
id_000063,Quần đẹp mặc rất vừa .sẽ ủng hộ shop tiếp.
id_000064,Shop gửi đúng mẫu mã mà chưa mặc thử ko biết có vừa không nữa hhh
id_000065,"Tiền nào của đó: 
Quần mỏng, đường chỉ may không chắc
"
id_000066,Chất lượng phù hợp với giá tiền. Tuy nhiên giao 2 cái quần cùng loại cùng size 33 mà kích thước chênh lệch nhau xa. 
id_000067,"Quần đẹp ghê, rẻ nữa mng nên mua nhé"
id_000068,"Quần đẹp, vải tốt nên mua nhé mng"
id_000069,"Giao đúng hàng, so với giả tiền thì hàng quá ok"
id_000070,Quần đẹp quá trời giá thành rẻ các bạn nên mua 🤗
id_000071,Với giá này thì chất lượng quần ok lắm
id_000072,"Quần ok, phù hợp giá tiền"
id_000073,Quần chất đẹp lắm ạ 
id_000074,"Đúng mẫu vừa dặn , vãi hơi mỏng ak , giao hàng hơi lâu, đóng gói sơ Sài  , vãi có giãn "
id_000075,Tuyệt vời ạ quá đẹp
id_000076,Quần đẹp
id_000077,với mức giá này thì thấy sản phẩm mình thấy phù hợp.
id_000078,Quần đẹp y hình nhưng size k chuẩn lắm.binh thường ck mh mặc 31 còn hơi rộng chút.ma đặt bên shop k vừa.
id_000079,Quần đẹp
id_000080,Ok
id_000081,"K dám đặt mua 2 cái nên chỉ định mua thử xem có đẹp k mới dám mua tiếp. Nhận hàng về thấy Chất vải đẹp không ngờ luôn. Kiểu dáng rất đẹp, đứng quần mà lại rẻ nữa. Mua mấy hãng toàn trên 300k cũng chỉ tương đương như này. Sẽ tiếp tục mua thêm của shop nữa.giao hàng nhanh. Shiper thân thiện"
id_000082,Đẹp hơn mong đợi! 
id_000083,Tạm đc
id_000084,"Vải quá đẹp, phom nét căng Quá rẻ so với chất lượng Thanks shop !  Chúc shop đắt hàng"
id_000085,"Quần đẹp như hình, mọi người nên mua, shop lại nhiệt tình dễ thương nữa"
id_000086,Hàng đẹp...rất thích....chúc shop bán đắt...sẽ ủng hộ nhiều lần nữa
id_000087,"Hàng đẹp,tuy hơi mỏng nhưng đúng với giá tiền"
id_000088,"Bán hàng cái kiểu gì vậy??quần vừa đẹp lại vừa luôn,giao hàng thì 2-3 ngày đã đến nơi,mua 1 lại muốn mua thêm thế này tốn tiền chết :)))"
id_000089,Tuyệt vời lắm ạ Mọi ng lên mua nha😁😁
id_000090,"Vừa nhận được hàng xong, quá là ưng luôn shop ạ. Đường may cẩn thận, rất đáng tiền. Sẽ ủng hộ shop lần sau."
id_000091,"Áo rộng rãi thoải mái che được cả cổ
Sẽ ủng hộ shop thêm 😁😁😁😁😁😁😀😀😀"
id_000092,"Chất lượng ổn, so với giá khá rẻ, sẽ làm thêm chiếc nữa ứng hộ shop "
id_000093,Very good! Chúc shop ngày càng phát triển
id_000094,"Mình  đã nhận được hàng rồi, cám ơn shop. "
id_000095,Thanks shop! 
id_000096,"Giá cả hợp lý, chất lượng ok 👍. Shipper thân thiện, lễ phép "
id_000097,Hơi mỏng
id_000098,"Chất liệu quá ưng, thật sự đáng với số tiền, đường chỉ may lại đẹp . Thanks shop"
id_000099,Cám bởi shop đã tư vấn nhiệt tình và giao hàng nhanh! 
id_000100,"Đã nhận được hàng, giao hàng nhanh! 5 sao cho shop"
id_000101,"Áo dày, chất đẹp"
id_000102,None
id_000103,"Vải dày dặn, giao hàng nhanh"
id_000104,Chất liệu ok
id_000105,Very good! Chúc shop ngày càng phát triển
id_000106,"Mình  đã nhận được hàng rồi, cám ơn shop. "
id_000107,"Chất liệu quá ưng, thật sự đáng với số tiền, đường chỉ may lại đẹp . Thanks shop"
id_000108,Thanks shop! 
id_000109,Cám bởi shop đã tư vấn nhiệt tình và giao hàng nhanh! 
id_000110,"Đã nhận được hàng, giao hàng nhanh! 5 sao cho shop"
id_000111,Áo có dãn khá tốt
id_000112,Nên set đẹp
id_000113,Very good! Chúc shop ngày càng phát triển
id_000114,"Đã nhận hàng, vải đẹp, may cẩn thận. Nhưng tiếc là ít màu quá."
id_000115,Hàng đã nhận được. Cám ơn shop
id_000116,"Mình  đã nhận được hàng rồi, cám ơn shop. "
id_000117,"Vải rất thích, về ck mình mặc luôn "
id_000118,"Chất liệu quá ưng, thật sự đáng với số tiền, đường chỉ may lại đẹp . Thanks shop"
id_000119,Chất liệu đẹp
id_000120,Chất liệu tốt đấy shop
id_000121,Chồng mình rất ưng
id_000122,None
id_000123,"Shop giao hàng nhanh , đường chỉ đẹp"
